minority_ratio,separation,seed,ari
0.03,6.0,60,0.03305374680038474
0.03,6.0,61,0.001326369471417324
0.03,6.0,62,0.07240875145218215
0.03,6.0,63,0.19352034968329393
0.03,6.0,64,0.020328697437134734
0.03,6.0,65,0.009320868238737668
0.03,6.0,66,0.005144286954991537
0.03,8.0,42,0.005510680085472938
0.03,8.0,43,0.0001756302908515724
0.03,8.0,44,0.006993384353421228
0.03,8.0,45,0.010577554136551126
0.03,8.0,46,0.03212121737521187
0.03,8.0,47,0.2719659110120967
0.03,8.0,48,0.030192316461975188
0.03,8.0,49,0.0013899473212350554
0.03,8.0,50,0.0016142718162628186
0.03,8.0,51,-0.0015627506095077352
0.03,8.0,52,0.00907680336897002
0.03,8.0,53,0.014218499412832434
0.03,8.0,54,0.016658173975576476
0.03,8.0,55,0.033761826063875996
0.03,8.0,56,0.3170217495866512
0.03,8.0,57,1.0
0.03,8.0,58,0.00814969656075012
0.03,8.0,59,-7.760416975225753e-06
0.03,8.0,60,0.08222509067888166
0.03,8.0,61,0.004481049165042396
0.03,8.0,62,0.24771015572265287
0.03,8.0,63,0.2838118305205671
0.03,8.0,64,0.011651601011523214
0.03,8.0,65,0.28791775528274083
0.03,8.0,66,0.005535080931389446
0.03,10.0,42,0.006223800908101517
0.03,10.0,43,-1.2388826061275854e-05
0.03,10.0,44,0.3051930261080234
0.03,10.0,45,0.03432948831777465
0.03,10.0,46,0.035329093672252385
0.03,10.0,47,0.2856084191066255
0.03,10.0,48,0.9975677906964738
0.03,10.0,49,0.0032834792454142793
0.03,10.0,50,0.0031648752190354557
0.03,10.0,51,0.8278441730032695
0.03,10.0,52,0.011000510465615353
0.03,10.0,53,0.01590072219471241
0.03,10.0,54,0.017714192524906545
0.03,10.0,55,0.9987825843397433
0.03,10.0,56,0.41639936484976103
0.03,10.0,57,0.9963629494298413
0.03,10.0,58,0.00743570471369894
0.03,10.0,59,4.548292182629479e-05
0.03,10.0,60,0.0010418663405892914
0.03,10.0,61,0.007103954435594429
